iter	Logloss
0	0.692688487
1	0.6922673382
2	0.6918598481
3	0.6914347814
4	0.6910219824
5	0.6905861539
6	0.6902010869
7	0.6897744773
8	0.6893409414
9	0.688920668
10	0.6884886727
11	0.6880641575
12	0.6876214553
13	0.687171978
14	0.686747187
15	0.6863106098
16	0.685899081
17	0.6854839518
18	0.685095007
19	0.6846561515
20	0.6842646349
21	0.68383576
22	0.6834006653
23	0.6829862836
24	0.682567593
25	0.6821678477
26	0.6817654239
27	0.681365988
28	0.6809609946
29	0.6805651444
30	0.6801544651
31	0.6797825334
32	0.6793837816
33	0.678985885
34	0.6785813822
35	0.6781389797
36	0.6777402226
37	0.6773485502
38	0.6769182227
39	0.6765195303
40	0.6761033279
41	0.6757047408
42	0.6752805845
43	0.674889865
44	0.674518347
45	0.6740919046
46	0.6736729105
47	0.6732743039
48	0.6729110178
49	0.6724788387
50	0.6720993313
51	0.671684454
52	0.6713075736
53	0.670909169
54	0.6705418181
55	0.6701744823
56	0.669794675
57	0.6693814704
58	0.668959538
59	0.6685939553
60	0.6681985705
61	0.6677956562
62	0.6674175758
63	0.6670329286
64	0.6666630398
65	0.6662768664
66	0.6658836581
67	0.6654889384
68	0.6651142352
69	0.6647423238
70	0.664354681
71	0.6639934457
72	0.6636124289
73	0.6632235133
74	0.6628205646
75	0.6624513535
76	0.6620936031
77	0.6617285945
78	0.6613382996
79	0.6609613456
80	0.6605861319
81	0.6602345906
82	0.6598704305
83	0.6594942228
84	0.6591391108
85	0.6587928456
86	0.6584299689
87	0.6580224163
88	0.6576670625
89	0.6573000335
90	0.6569153153
91	0.6565356829
92	0.656167805
93	0.655765209
94	0.6553916876
95	0.6550103219
96	0.6546410277
97	0.6542190669
98	0.6538382501
99	0.6534830073
100	0.6531394565
101	0.6527568901
102	0.65235174
103	0.6519806064
104	0.6516103542
105	0.6512278185
106	0.6508603494
107	0.6504997206
108	0.6501284628
109	0.6497287444
110	0.6493457204
111	0.648983017
112	0.6486147834
113	0.6482481839
114	0.6478907494
115	0.6475149119
116	0.6471884281
117	0.6468387546
118	0.6464441768
119	0.6460545724
120	0.6457140237
121	0.6453257349
122	0.6449156672
123	0.6445713016
124	0.6442211281
125	0.6438904826
126	0.6435434848
127	0.6431957815
128	0.6428406291
129	0.6425051591
130	0.6421296675
131	0.6417771803
132	0.6414111755
133	0.6410266043
134	0.6406772612
135	0.6403118897
136	0.6399755549
137	0.6396458791
138	0.6393094654
139	0.6389350708
140	0.6385923113
141	0.6382519315
142	0.6379234404
143	0.637577575
144	0.6372471284
145	0.6368668673
146	0.6365577987
147	0.6361999493
148	0.6358399079
149	0.6354950515
150	0.6351241539
151	0.6347708288
152	0.6344250257
153	0.6340910772
154	0.6337685434
155	0.6334266365
156	0.6330552336
157	0.63275569
158	0.6323879021
159	0.6320471208
160	0.63171309
161	0.6313628481
162	0.6310450958
163	0.6307151716
164	0.6303741292
165	0.6300340724
166	0.6297097924
167	0.6293745724
168	0.6290585989
169	0.6287163267
170	0.6283859333
171	0.6280427629
172	0.6277098247
173	0.6273733089
174	0.6270552832
175	0.6267314585
176	0.6264028897
177	0.6260624273
178	0.6257208584
179	0.6253711444
180	0.6250339142
181	0.6247057699
182	0.6243641442
183	0.6240430755
184	0.6237321767
185	0.6233770289
186	0.6230535229
187	0.6227057041
188	0.6223587751
189	0.6220074661
190	0.6216419292
191	0.6213251376
192	0.6209858143
193	0.620675009
194	0.6203413566
195	0.6200222233
196	0.6196992605
197	0.6193462428
198	0.619019173
199	0.6186930417
200	0.6183712325
201	0.6180616847
202	0.6177333295
203	0.6174190726
204	0.6170845623
205	0.61676413
206	0.6164151961
207	0.6161051759
208	0.6157829613
209	0.6154615824
210	0.6151212896
211	0.6147923039
212	0.614472698
213	0.6141312389
214	0.6137831167
215	0.613464608
216	0.6131531498
217	0.6128289027
218	0.6125076868
219	0.6121969276
220	0.6118997544
221	0.611602858
222	0.6113113229
223	0.6110063563
224	0.6106942563
225	0.6103673796
226	0.6100633189
227	0.6097409612
228	0.6094230361
229	0.6090746403
230	0.6087653529
231	0.608447247
232	0.6081350168
233	0.6078441685
234	0.6075068687
235	0.6072001456
236	0.6069004898
237	0.6065888501
238	0.6062844337
239	0.6059762364
240	0.6056977282
241	0.6053661384
242	0.6050413164
243	0.6047232918
244	0.6044018927
245	0.6040971539
246	0.6037756085
247	0.6034547065
248	0.6031359767
249	0.6028244133
